ID;MODEL;CONFIG.;NR.ROWS;NR.FANS;HE;GAMMA;ED_MODEL;ED_TYPE;FUNCTIONALITY;CONTROL;FAN_TYPE;FAN_MODEL;ADIABATIC;FLOW_RATE_DRAIN;QA_FR_REF;DP_FR_REF;QA_FIL_REF;DP_FIL_REF;QA_EXCH_REF;DP_EXCH_REF;KV_FRAME;KV_FILT;KV_EXCH;Q_MAN;DP_MAN;KV_MAN;QW_MIN;QW_MAX;DH_SENSORS;LENGTH;WIDTH;HEIGHT;DRY WEIGHT D|A;DRY WEIGHT S|H;OPER WEIGHT D|A;OPER WEIGHT S|H;DISTANCE_LONG;DISTANCE_SHORT;NOMINAL SPRAY ADIAB;NOMINAL SPRAY BOOSTER;AUTOFLOW;MIN DESIGN TEMPERATURE;MAX DESIGN TEMPERATURE;DESIGN PRESSURE C|S;TEST PRESSURE C|S;DESIGN PRESSURE D;TEST PRESSURE D;INTERNAL VOLUME PER UNIT;MANIFOLD SIZE;SPRAY SYS. NOZZLE;SPRAY SYS. PIPING;ADIABATIC SYS. FRAME;ADIABATIC SYS. COOLING PADS;SYSTEM - STRUCTURE;SYSTEM - LADDER & WALKWAY;UNIT FRAME MATERIAL;UNIT FRAME COATINGS;SYSTEM LADDER;SYSTEM HANDRAILS
0;3DK011P_EC_NoSerial;parallel;1;1;2DBWN0114;3DK;3DK011;P;D|A;No Serial;EC;ZIEHL_FN080-ZIQ.GL.V7P3;3DK;;17500;79;17500;87;20000;73.6;1968.9038;1876.2;2331.26;26;0.736;30.3064;12;55;1.4342;2.523;1.127;2.9;0;0;0;0;0.6;1.5;2.3;;;;;;;;;70;;;;;;;;;;;
1;3DK011P_EC_Serial;parallel;1;1;2DBWN0114;3DK;3DK011;P;D|A;Serial;EC;ZIEHL_FN080-ZIQ.GL.V7P3;3DK;;17500;79;17500;87;20000;73.6;1968.9038;1876.2;2331.26;26;0.736;30.3064;12;55;1.4342;2.523;1.127;2.9;0;0;0;0;0.6;1.5;2.3;;;;;;;;;70;;;;;;;;;;;
2;3DK011P_EZ_NoSerial;parallel;1;1;2DBWN0114;3DK;3DK011;P;A;No Serial;EZ;ZIEHL_ZN080-ZIL.GG.V7P3;3DK;;17500;79;17500;87;20000;73.6;1968.9038;1876.2;2331.26;26;0.736;30.3064;12;55;1.4342;2.523;1.127;2.9;0;0;0;0;0.6;1.5;2.3;;;;;;;;;70;;;;;;;;;;;
3;3DK011P_EZ_Serial;parallel;1;1;2DBWN0114;3DK;3DK011;P;D|A;Serial;EZ;ZIEHL_ZN080-ZIL.GG.V7P3;3DK;;17500;79;17500;87;20000;73.6;1968.9038;1876.2;2331.26;26;0.736;30.3064;12;55;1.4342;2.523;1.127;2.9;0;0;0;0;0.6;1.5;2.3;;;;;;;;;70;;;;;;;;;;;
4;3DK011S_EC_NoSerial;series;1;1;2DBWN0114;3DK;3DK011;S;A;No Serial;EC;ZIEHL_FN080-ZIQ.GL.V7P3;3DK;;17500;79;17500;87;20000;73.6;1968.9038;1876.2;2331.26;13;0.736;15.1532;5;15;1.4342;1.722;1.127;2.9;0;0;0;0;0.6;1.5;2.3;;;;;;;;;70;;;;;;;;;;;
5;3DK011S_EC_Serial;series;1;1;2DBWN0114;3DK;3DK011;S;D|A;Serial;EC;ZIEHL_FN080-ZIQ.GL.V7P3;3DK;;17500;79;17500;87;20000;73.6;1968.9038;1876.2;2331.26;13;0.736;15.1532;5;15;1.4342;1.722;1.127;2.9;0;0;0;0;0.6;1.5;2.3;;;;;;;;;70;;;;;;;;;;;
6;3DK011S_EZ_NoSerial;series;1;1;2DBWN0114;3DK;3DK011;S;A;No Serial;EZ;ZIEHL_ZN080-ZIL.GG.V7P3;3DK;;17500;79;17500;87;20000;73.6;1968.9038;1876.2;2331.26;13;0.736;15.1532;5;15;1.4342;1.722;1.127;2.9;0;0;0;0;0.6;1.5;2.3;;;;;;;;;70;;;;;;;;;;;
7;3DK011S_EZ_Serial;series;1;1;2DBWN0114;3DK;3DK011;S;D|A;Serial;EZ;ZIEHL_ZN080-ZIL.GG.V7P3;3DK;;17500;79;17500;87;20000;73.6;1968.9038;1876.2;2331.26;13;0.736;15.1532;5;15;1.4342;1.722;1.127;2.9;0;0;0;0;0.6;1.5;2.3;;;;;;;;;70;;;;;;;;;;;
8;3DK021D_EC_NoSerial;parallel;1;2;2DBWCID22H;3DK;3DK021;D;A;No Serial;EC;ZIEHL_FN080-ZIQ.GL.V7P3;3DK;40;17500;79;17500;87;20000;64.6;1968.9038;1876.2;2488.36;40;2.42;25.713;30;150;1.5404;3.607;1.127;3;0;0;0;0;0.6;1.5;4.5;;;;;;;;;120;;;;;;;;;;;
9;3DK021D_EC_Serial;parallel;1;2;2DBWCID22H;3DK;3DK021;D;A|H;Serial;EC;ZIEHL_FN080-ZIQ.GL.V7P3;3DK;40;17500;79;17500;87;20000;64.6;1968.9038;1876.2;2488.36;40;2.42;25.713;30;150;1.5404;3.607;1.127;3;0;0;0;0;0.6;1.5;4.5;8.4;;;;;;;;120;;;;;;;;;;;
10;3DK021D_EZ_NoSerial;parallel;1;2;2DBWCID22H;3DK;3DK021;D;A;No Serial;EZ;ZIEHL_ZN080-ZIL.GG.V7P3;3DK;40;17500;79;17500;87;20000;64.6;1968.9038;1876.2;2488.36;40;2.42;25.713;30;150;1.5404;3.607;1.127;3;0;0;0;0;0.6;1.5;4.5;;;;;;;;;120;;;;;;;;;;;
11;3DK021D_EZ_Serial;parallel;1;2;2DBWCID22H;3DK;3DK021;D;A|H;Serial;EZ;ZIEHL_ZN080-ZIL.GG.V7P3;3DK;40;17500;79;17500;87;20000;64.6;1968.9038;1876.2;2488.36;40;2.42;25.713;30;150;1.5404;3.607;1.127;3;0;0;0;0;0.6;1.5;4.5;8.4;;;;;;;;120;;;;;;;;;;;
12;3DK021P_EC_NoSerial;parallel;1;2;2DBWN0224H;3DK;3DK021;P;D|A;No Serial;EC;ZIEHL_FN080-ZIQ.GL.V7P3;3DK;;17500;79;17500;87;20000;40.5;1968.9038;1876.2;3142.7;26;0.736;30.3064;12;51;1.4342;3.643;1.127;2.9;0;0;0;0;0.6;1.5;4.5;;;;;;;;;120;;;;;;;;;;;
13;3DK021P_EC_Serial;parallel;1;2;2DBWN0224H;3DK;3DK021;P;D|A|H;Serial;EC;ZIEHL_FN080-ZIQ.GL.V7P3;3DK;;17500;79;17500;87;20000;40.5;1968.9038;1876.2;3142.7;26;0.736;30.3064;12;51;1.4342;3.643;1.127;2.9;0;0;0;0;0.6;1.5;4.5;8.4;;;;;;;;120;;;;;;;;;;;
14;3DK021P_EZ_NoSerial;parallel;1;2;2DBWN0224H;3DK;3DK021;P;A;No Serial;EZ;ZIEHL_ZN080-ZIL.GG.V7P3;3DK;;17500;79;17500;87;20000;40.5;1968.9038;1876.2;3142.7;26;0.736;30.3064;12;51;1.4342;3.643;1.127;2.9;0;0;0;0;0.6;1.5;4.5;;;;;;;;;120;;;;;;;;;;;
15;3DK021P_EZ_Serial;parallel;1;2;2DBWN0224H;3DK;3DK021;P;D|A|H;Serial;EZ;ZIEHL_ZN080-ZIL.GG.V7P3;3DK;;17500;79;17500;87;20000;40.5;1968.9038;1876.2;3142.7;26;0.736;30.3064;12;51;1.4342;3.643;1.127;2.9;0;0;0;0;0.6;1.5;4.5;8.4;;;;;;;;120;;;;;;;;;;;
16;3DK021S_EC_NoSerial;series;1;2;2DBWN0224H;3DK;3DK021;S;A;No Serial;EC;ZIEHL_FN080-ZIQ.GL.V7P3;3DK;;17500;79;17500;87;20000;40.5;1968.9038;1876.2;3142.7;13;0.736;15.1532;5;14;1.4342;3.322;1.127;2.9;0;0;0;0;0.6;1.5;4.5;;;;;;;;;120;;;;;;;;;;;
17;3DK021S_EC_Serial;series;1;2;2DBWN0224H;3DK;3DK021;S;D|A|H;Serial;EC;ZIEHL_FN080-ZIQ.GL.V7P3;3DK;;17500;79;17500;87;20000;40.5;1968.9038;1876.2;3142.7;13;0.736;15.1532;5;14;1.4342;3.322;1.127;2.9;0;0;0;0;0.6;1.5;4.5;8.4;;;;;;;;120;;;;;;;;;;;
18;3DK021S_EZ_NoSerial;series;1;2;2DBWN0224H;3DK;3DK021;S;A;No Serial;EZ;ZIEHL_ZN080-ZIL.GG.V7P3;3DK;;17500;79;17500;87;20000;40.5;1968.9038;1876.2;3142.7;13;0.736;15.1532;5;14;1.4342;3.322;1.127;2.9;0;0;0;0;0.6;1.5;4.5;;;;;;;;;120;;;;;;;;;;;
19;3DK021S_EZ_Serial;series;1;2;2DBWN0224H;3DK;3DK021;S;D|A|H;Serial;EZ;ZIEHL_ZN080-ZIL.GG.V7P3;3DK;;17500;79;17500;87;20000;40.5;1968.9038;1876.2;3142.7;13;0.736;15.1532;5;14;1.4342;3.322;1.127;2.9;0;0;0;0;0.6;1.5;4.5;8.4;;;;;;;;120;;;;;;;;;;;
20;3DK022D_EC_NoSerial;parallel;2;4;2DBWCID22H;3DK;3DK022;D;A;No Serial;EC;ZIEHL_FN080-ZIQ.GL.V7P3;3DK;80;17500;79;17500;87;20000;64.6;1968.9038;1876.2;2488.36;80;2.42;51.4259;30;150;1.5404;3.607;2.235;3;0;0;0;0;0.6;1.5;9;;;;;;;;;235;;;;;;;;;;;
21;3DK022D_EC_Serial;parallel;2;4;2DBWCID22H;3DK;3DK022;D;A|H;Serial;EC;ZIEHL_FN080-ZIQ.GL.V7P3;3DK;80;17500;79;17500;87;20000;64.6;1968.9038;1876.2;2488.36;80;2.42;51.4259;30;150;1.5404;3.607;2.235;3;0;0;0;0;0.6;1.5;9;18.4;;;;;;;;235;;;;;;;;;;;
22;3DK022D_EZ_NoSerial;parallel;2;4;2DBWCID22H;3DK;3DK022;D;A;No Serial;EZ;ZIEHL_ZN080-ZIL.GG.V7P3;3DK;80;17500;79;17500;87;20000;64.6;1968.9038;1876.2;2488.36;80;2.42;51.4259;30;150;1.5404;3.607;2.235;3;0;0;0;0;0.6;1.5;9;;;;;;;;;235;;;;;;;;;;;
23;3DK022D_EZ_Serial;parallel;2;4;2DBWCID22H;3DK;3DK022;D;A|H;Serial;EZ;ZIEHL_ZN080-ZIL.GG.V7P3;3DK;80;17500;79;17500;87;20000;64.6;1968.9038;1876.2;2488.36;80;2.42;51.4259;30;150;1.5404;3.607;2.235;3;0;0;0;0;0.6;1.5;9;18.4;;;;;;;;235;;;;;;;;;;;
