ID;MODEL;COIL TYPE;TUBES;ROWS;CIRCUITS;P.A.;FIN THICK;LENGTH;TUB THICK;FIN MAT;CONN DIA;TYPE;TWIN_DES;TWOUT_DES;TAIN_DES;RH_DES;QA_DES;QW_DES;POW_WATER;POW_MEG_5;POW_MEG_10;POW_MEG_15;POW_MEG_20;POW_MEG_25;POW_MEG_30;POW_MEG_35;POW_MEG_40;POW_MEG_45;POW_MEG_50;POW_MPG_5;POW_MPG_10;POW_MPG_15;POW_MPG_20;POW_MPG_25;POW_MPG_30;POW_MPG_35;POW_MPG_40;POW_MPG_45;POW_MPG_50;UA_WATER;UA_MEG_5;UA_MEG_10;UA_MEG_15;UA_MEG_20;UA_MEG_25;UA_MEG_30;UA_MEG_35;UA_MEG_40;UA_MEG_45;UA_MEG_50;UA_MPG_5;UA_MPG_10;UA_MPG_15;UA_MPG_20;UA_MPG_25;UA_MPG_30;UA_MPG_35;UA_MPG_40;UA_MPG_45;UA_MPG_50;QW_DP_DES;DP_DES;KV_W;QW_MIN;QW_MAX;SURFACE;COMM_FACTOR;ACCORDING DESIGN CODE;TUBE EXTERNAL DIAMETER OD;TUBE THICKNESS;FINS PITCH;FIN THICKNESS;CONNECTIONS SIDE;CONNECTIONS SIZE;CONNECTIONS TYPE;TUBE & HEADER MATERIAL;FINS MATERIAL;FRAME MATERIAL;COATING MATERIAL
0;2DBWCID77H;2;35;3;104;2;0.11;7740;0.35;1;109;cross-flow both unmixed;42;37.70;30;0.5;70000;30;138610;136652.6266;135981.5271;134592.7241;133278.4877;131759.1931;130165.3319;127751.238;125150.7276;120676.7312;110852.5809;137090.7054;135571.4108;134191.9286;132812.4464;131339.7559;128590.1123;125243.9358;120443.7106;110796.6559;97738.17901;;;;;;;;;;;;;;;;;;;;;;62;60.37;7.979599631;;;561;5%;;12;0.35;2;0.11;Opposite;;;;;;
1;2DBWD0774H;2;35;3;104;2;0.11;7740;0.35;1;108;cross-flow both unmixed;42;37.54;30;0.5;70000;28.5;136590;135900.4339;133813.0986;132489.8772;131250.5219;129815.4789;128203.3852;126535.3807;123180.7348;116275.7552;104832.6852;134931.314;133691.9587;132163.7311;131595.305;128958.1805;126554.0176;122202.2964;115241.4061;104823.3668;79700.79615;;;;;;;;;;;;;;;;;;;;;;56;61.29;7.153082209;;;561;5%;;12;0.35;2;0.11;Opposite;;;;;;
2;2DBWCID11H;2;35;3;104;2;0.11;11040;0.35;1;109;cross-flow both unmixed;42;37.56;30;0.5;100000;42;199010;198175.8485;197545.6008;194644.6074;193282.16;191725.0773;188722.1321;187452.3682;185246.501;180973.7919;177711.3329;197443.6489;195858.7612;194422.167;192790.9375;189889.9441;188814.8156;186293.8245;183411.3678;180093.2987;175004.9749;;;;;;;;;;;;;;;;;;;;;;52;60.01;6.712611772;;;800;5%;;12;0.35;2;0.11;Opposite;;;;;;
3;2DBWD01104H;2;35;3;104;2;0.11;11040;0.35;1;108;cross-flow both unmixed;42;36.10;30;0.5;100000;28.5;181170;180141.5812;179047.7175;176270.9867;174382.4358;171773.9916;169773.2496;167052.6143;162630.4134;152149.8906;135620.3953;179000.9712;178066.045;176018.5566;173774.7337;171259.7822;167828.6031;161658.0901;150803.5969;137303.2625;122194.855;;;;;;;;;;;;;;;;;;;;;;48;60.15;6.189041881;;;800;5%;;12;0.35;2;0.11;Opposite;;;;;;
4;2DBWCID55H;2;31;3;90;2;0.11;5540;0.35;1;109;cross-flow both unmixed;42;37.71;30;0.5;50000;20;92310;91629.12398;90752.37951;89670.43953;88299.36041;87049.53319;85379.98788;83719.76963;79000.27281;68404.72264;55663.94665;91787.68415;90407.27796;89092.16126;88429.93938;86387.31131;82022.2431;74765.78357;64776.49288;50132.99485;37700.01212;;;;;;;;;;;;;;;;;;;;;;64;59.85;8.272711833;;;355;5%;;12;0.35;2;0.11;Opposite;;;;;;
5;2DBWN0554H;113;42;3;126;2;0.1;5540;0.3;1;108;cross-flow both unmixed;42;39.58;30;0.5;50000;40;103230;102278.2734;101982.5913;101372.747;100938.464;99672.57519;99090.45113;98462.12675;96863.5956;95948.82922;94775.34103;102657.116;101345.0269;100892.2637;100310.1396;99275.25242;98212.64501;97316.35875;96235.27121;94424.21858;91458.15789;;;;;;;;;;;;;;;;;;;;;;48;63.38;6.029275376;;;342;5%;;9.52;0.3;2;0.1;Opposite;;;;;;
6;2DBWCID44H;2;31;3;90;2;0.11;4440;0.35;1;109;cross-flow both unmixed;42;38.44;30;0.5;40000;20;76310;75760.5382;75117.94728;74233.22065;73246.05199;72147.12839;70852.63363;69604.70344;65823.66122;57516.54381;47030.20503;75835.04149;74894.43739;73842.07835;72817.65804;71234.46302;68282.26995;62750.40029;54322.21504;42513.44276;32231.98804;;;;;;;;;;;;;;;;;;;;;;71;60.36;9.138685531;;;285;5%;;12;0.35;2;0.11;Opposite;;;;;;
7;2DBWN0444H;113;42;3;126;2;0.1;4440;0.3;1;108;cross-flow both unmixed;42;40.04;30;0.5;40000;40;84180;83872.2973;83657.83784;83247.56757;82846.62162;82231.21622;81867.56757;80730;79974.72973;78632.02703;77690.27027;83713.78378;83191.62162;82753.37838;82268.51351;81569.18919;80702.02703;79844.18919;79051.62162;77680.94595;75555;;;;;;;;;;;;;;;;;;;;;;52;61.72;6.618969577;;;274;5%;;9.52;0.3;2;0.1;Opposite;;;;;;
8;2DBWCID33H;2;31;3;90;2;0.11;3340;0.35;1;109;cross-flow both unmixed;42;39.23;30;0.5;30000;20;58820;58396.10528;57981.42566;57235.00235;56451.71863;55622.35939;54710.06423;53502.88579;50775.21542;45117.14241;37275.09008;58082.79179;57299.50807;56617.59047;56230.55616;54728.49444;52535.30002;48711.03243;42868.65737;33616.69434;25728.5665;;;;;;;;;;;;;;;;;;;;;;79;59.05;10.28056872;;;214;5%;;12;0.35;2;0.11;Opposite;;;;;;
9;2DBWN0334H;113;42;3;42;2;0.1;3340;0.3;1;108;cross-flow both unmixed;42;37.84;30;0.5;30000;13;57810;57633.58015;57039.3238;56807.19242;56575.06103;55795.09958;55562.9682;54857.28879;54281.60296;53371.64793;52480.26341;57466.44555;57104.32059;56816.47767;56482.20848;55878.66688;55172.98747;54588.01638;53965.90427;53390.21844;52016.00064;;;;;;;;;;;;;;;;;;;;;;16;64.86;1.986696426;;;206;5%;;9.52;0.3;2;0.1;Opposite;;;;;;
